,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
61025,tt1702016,We the Party,We the Party,2012,06-04-12,Comedy,105,USA,"English, French",Mario Van Peebles,,,"Mandela Van Peebles, Simone Battle, Moises Arias, Patrick Cage, Makaylo Van Peebles, Ryan Vigil, YG, Mario Van Peebles, Salli Richardson-Whitfield, Michael Jai White, Tommy 'Tiny' Lister, China Walker, Maya Van Peebles, B.K. Cannon, Quincy Brown","In Los Angeles, five high-school friends deal with romance, money, prom, college, sex, bullies, Facebook, fitting in, standing out, and finding themselves.",4.2,767,,,,48,7,7
61055,tt1704175,My Big Father,My Big Father,2009,2009,"Comedy, Drama",140,India,Malayalam,S.P. Mahesh,"Suresh Menon, Satheesh K. Sivan",,"Ajaykumar, Fathima Babu, Baburaj, Devan, Innocent, Jayaram, Kanakalatha, Kaniha, Salim Kumar, Majeed, Ambika Mohan, Narayanan Nair, Narayanankutty, Krishna Prabha, Kochu Preman","The film exhibits a deep bonding between a son, Alby (Jayaram), and his father, Kunjumon (Ajaykumar), a dwarf. Things changes after Kunjumon faces a critical accident , which affects Alby's marriage-life.",4.1,104,,,,,,
61072,tt1706317,Tezz,Tezz,2012,26-04-12,"Action, Crime, Drama",121,"UK, India",Hindi,Priyadarshan,"Robin Bhatt, Aditya Dhar",United 7 Entertainment,"Anil Kapoor, Ajay Devgn, Mohanlal, Kangana Ranaut, Zayed Khan, Boman Irani, Sameera Reddy, Philip Martin Brown, Sagar Arya, Dominic Power, Avika Gor, Puja Bhatt, Bhavna Pani, Mudit Kumar Nair, Cameron Singh","To revenge his past, Aakash Rana plants bomb in a train endangering lives of 500 passengers.",3.9,2137,INR 400000000,$ 229931,$ 405214,,22,20
61099,tt1708526,Halal police d'État,Halal police d'État,2011,16-02-11,"Comedy, Crime",98,France,French,Rachid Dhibou,"Eric Judor, Ramzy Bedia",EuropaCorp,"Eric Judor, Ramzy Bedia, Jean-Pierre Lazzerini, Anca Radici, Lannick Gautry, Frédéric Chau, Karl E. Landler, Jean-Baptiste Shelmerdine, Aryan Rahimian, Philippe Girard, Mostéfa Stiti, Youssef Hajdi, Mourad Lakehal, Mohamed Aroussi, Mostefa Zerguine","Someone is killing Parisians of Arab ethnicity. When an Algerian diplomat is murdered by the same assailant, two Algerian detectives are sent to help the French with the investigation and they have their own ways of doing things.",3.9,730,,,$ 6975269,,1,7
61017,tt1701218,Mysteria,Mysteria,2011,23-10-11,"Mystery, Thriller",98,USA,English,Lucius C. Kuert,Lucius C. Kuert,Arramis Films,"Robert Miano, Danny Glover, Martin Landau, Billy Zane, Michael Rooker, Meadow Williams, Peter Mark Richman, Silvia Spross, Gary A. Kauffman, David Bear, Gretchen Becker, Christa Bormann, Curt Clendenin, Court Dickert, William Dorfman","A once famous, and now washed-up, Hollywood Screenwriter, fighting to finish his latest script with an unrealistic deadline. He finds himself in the center of a murder investigation ...",3.8,530,$ 6000000,,,,13,3
61071,tt1705956,The Feed,The Feed,2010,31-10-10,Horror,73,USA,English,Steve Gibson,"Matt Edens, Steve Gibson",Fist In Post Films,"Seth Drick, Chip Facka, Brianna Healey, Jody Horn, Lloyd Kaufman, Melissa Mabus, Sam Nelsen, Andrew Shaffer, Scott Stieler","The wildly popular TV reality series, Ghost Chasers, is hitting its 4th year on the air; to commemorate this milestone, the members of the Ghost Chasers team have decided to broadcast their anniversary show out to the world live.",3.7,192,$ 15000,,,,4,11
61007,tt1700468,L'île,L'île,2011,03-05-11,"Adventure, Drama, Fantasy",94,"France, Reunion","French, German, Spanish",Olivier Boillot,Olivier Boillot,Ileprod,"Michel Béatrix, Cyrielle Debreuil, Paul Descombes, Kaddour Dorgham, Jérémy Duplot Jr.","In 1942, three men crash in the middle of the Atlantic Ocean and find shelter on a deserted island. As they explore their new surroundings, they discover they are not alone.",3.6,125,,,,,1,2
61058,tt1704578,Consinsual,Consinsual,2010,24-06-10,Drama,93,USA,English,Paul D. Hannah,Paul D. Hannah,One Truth Media,"Keena Ferguson, Siaka Massaquoi, Kathryn Taylor Smith, Leonard L. Thomas, Alexis Zibolis, Bryan Keith, Robert Joseph, Brienne Moore, Paul D. Hannah, Peppur Chambers, Lisa Dewitt, Doshanna Bell, Tanya Caravacci, Lamya Holley Clinton, Alfredo De Jesus","A couple who seems to have it all pushes their sex life to the edge. The story gets intertwined when an old flame, betrayal, lust and deceit enter the picture.",3.6,131,$ 50000,,,,3,1
61036,tt1703147,The Great Fight,The Great Fight,2011,19-02-13,"Action, Drama",81,USA,English,Sherri Kauk,Ken Del Vecchio,Justice for All Productions,"Robert Loggia, Martin Kove, Joyce DeWitt, Charles Durning, Eric Etebari, Thomas G. Waites, Angela Little, Tonye Patano, Jack Mulcahy, Erika Smith, Katarzyna Wolejnio, Deirdre Lorenz, Jackie Martling, Michael Rivera, Greg Nutcher","The rare story of an autistic sauvant, whose prodigious skill is fighting - and maybe more.",3.5,103,$ 2000000,,,,2,3
61064,tt1705125,Mysterious Island,Mysterious Island,2010,03-11-10,"Adventure, Fantasy, Horror",91,USA,English,Mark Sheppard,"Sholom Gelt, Cameron Larson",K2 Pictures (II),"Gina Holden, Lochlyn Munro, Pruitt Taylor Vince, Susie Abromeit, Mark Sheppard, J.D. Evermore, Edrick Browne, Caleb Michaelson, William Morgan Sheppard, Vincent C. Abadio, Jonathan Algood, Lucas Bernard, Grayling Bethancourt Jr., Raymond Blanchard, Marc Bowman",The likeliest group of travelers meet in the strangest way. A few become a tight group as they fight to stay alive in a world unlike they have ever seen.,3.5,893,$ 2500000,,,,20,9
61023,tt1702009,Strippers vs Werewolves,Strippers vs Werewolves,2012,27-04-12,"Action, Comedy, Crime",93,UK,English,Jonathan Glendening,"Pat Higgins, Phillip Barron",Black & Blue Films,"Adele Silva, Martin Compston, Billy Murray, Ali Bastian, Barbara Nedeljakova, Sarah Douglas, Simon Phillips, Martin Kemp, Alan Ford, Charlie Bond, Nick Nevern, Rita Ramnani, Steven Berkoff, Robert Englund, Lysette Anthony","When werewolf Mickey is accidentally killed in a strip club, the girls who work there have until the next full moon before his bloodthirsty wolf pack seek murderous retribution.",3,1889,,,,,32,52
61009,tt1700494,Türkler Cildirmis Olmali,Türkler Cildirmis Olmali,2009,27-11-09,"Action, Adventure, Comedy",100,Turkey,Turkish,Murat Aslan,Murat Aslan,Avsar Film,"Peker Açikalin, Önder K. Açikbas, Durul Bazan, Timur Acar, Erdem Akakçe, Ruhi Sari, Burhan Öçal, Oya Aydogan, Levent Özdilek, Erdal Tosun, Tuba Ünsal, Kadir Çöpdemir, Metin Belgin, Zeynep Beserler, Levent Ülgen",A rich Turkish family is captured by Somali pirates. Turkish government sends a team of cons to rescue them.,2.8,962,$ 4000000,,$ 1784156,,,1
61098,tt1708498,"Projekt dziecko, czyli ojciec potrzebny od zaraz","Projekt dziecko, czyli ojciec potrzebny od zaraz",2010,06-08-10,Comedy,80,Poland,Polish,Adam Dobrzycki,Adam Dobrzycki,ITI Cinema,"Dominika Ostalowska, Zbigniew Zamachowski, Tomasz Karolak, Michal Koterski, Marcin Sztabinski, Cezary Kosinski, Pawel Królikowski, Ewa Zietek, Aleksandra Poplawska, Pawel Burczyk, Artur Zawadzki, Anna Maria Buczek",,2.7,166,PLN 1200000,,$ 274244,,,
61056,tt1704201,Parasitic,Parasitic,2012,2012,"Horror, Sci-Fi",79,USA,English,Timothy Martin,Timothy Martin,Still Night Monster Movies,"Camille Balsamo, Amanda Beck, Carrie Carnes, Miguel de la Rosa, Isle Gallagher, James Garcia, Dan Gill, Bianca Holland, Bjorn Jiskoot Jr., Marcus Jordan, James Dean Lucé, Timothy Martin, Stephanie Mir, Margarita Neusheva, Julie Anne Prescott","A group of friends become trapped inside a nightclub with an unseen terror. Unable to escape, one at a time they fall victim to the ravenous, bloodthirsty beast.",2.1,645,,,,,15,9
61069,tt1705790,Inside the Whore,Inside the Whore,2012,03-10-12,Horror,90,Norway,"Norwegian, English",Reinert Kiil,Reinert Kiil,Kiil Produksjons,"Susanne Estelle, Lisa Barsten, Anniken Mjelde Sjo, Torgrim Ødegård, Linn Cathrine Sonflå, Heidi Ødegaard Mikkelsen, AnnaLee Dorazio, Irris Hollanes Lua, Kim Sønderholm, Therese Kruge, Aurora Huseth Bjørnhaug, Jørgen Langhelle, Vegar Hoel, Viktoria Winge, Dagrun Anholt","During the shooting of Reinart Kiil's feature film ""Inside the Whore"" a lot of mysterious things happen on set.",2,280,,,,,6,7
